主机 IP,主机名,主机状态,业务组,操作系统,系统版本,内核版本,CPU内核数,内存容量,特征,主机备注,整机CPU占用,整机内存占用,内网 IP,外网 IP,主机开机时长
10.120.1.13,WUHUFILE01,online,芜湖Windows,Windows Server,2016 Standard,10.0.14393.8781 (rs1_release.251224-1746),8,16.0 GB,[09NotReady],,2.91%,31.11%,10.120.1.13,10.120.1.13,100h58m8s
10.120.1.14,WUHUFILE02,online,芜湖Windows,Windows Server,2016 Standard,10.0.14393.8781 (rs1_release.251224-1746),8,16.0 GB,[09NotReady],,1.99%,33.22%,10.120.1.14,10.120.1.14,101h0m58s
10.110.12.98,pwinsharenew,online,上海G4.5（数据中心）Windows,Windows Server,2022 Standard,10.0.20348.3692 (WinBuild.160101.0800),8,32.0 GB,[09NotReady],,2.14%,23.80%,10.110.12.98,10.110.12.98,1051h20m2s
172.18.2.200,library,online,上海G4.5（数据中心）Windows,Windows Server,2019 Standard,10.0.17763.8146 (WinBuild.160101.0800),8,16.0 GB,[09NotReady],,1.97%,43.63%,172.18.2.200,172.18.2.200,1195h12m1s
10.100.2.187,pzbxmysqlNew,online,上海OLED（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,16,157.5 GB,[09NotReady],,1.65%,38.92%,10.100.2.187,10.100.2.187,1342h54m43s
10.100.2.177,pzabxser,online,上海OLED（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,8,46.8 GB,[09NotReady],,4.95%,8.83%,10.100.2.177,10.100.2.177,1318h18m13s
10.110.12.93,node1,online,上海G4.5（数据中心）Linux,AlmaLinux,9.7 (Moss Jungle Cat),5.14.0-611.5.1.el9_7.x86_64,16,62.8 GB,[09NotReady],,7.54%,35.22%,10.110.12.93,10.110.12.93,1340h43m4s
10.110.12.92,node1,online,上海G4.5（数据中心）Linux,AlmaLinux,9.7 (Moss Jungle Cat),5.14.0-611.5.1.el9_7.x86_64,8,15.6 GB,[09NotReady],,21.26%,55.51%,10.110.12.92,10.110.12.92,1340h43m32s
10.120.1.15,WUHUDHCP01,online,芜湖Windows,Windows Server,2016 Standard,10.0.14393.8781 (rs1_release.251224-1746),8,16.0 GB,[09NotReady],,1.01%,15.24%,10.120.1.15,10.120.1.15,37h45m16s
172.24.100.79,tmcdprt04,online,成都Windows,Windows Server,2019 Standard,10.0.17763.8146 (WinBuild.160101.0800),8,16.0 GB,[09NotReady],,25.46%,20.18%,172.24.100.79,172.24.100.79,1025h20m27s
10.115.91.10,share,online,未分组资产,Windows Server,2016 Standard,10.0.14393.8688 (rs1_release.251203-1653),2,64.0 GB,[09NotReady],,10.82%,15.23%,10.115.91.10,10.115.91.10,720h52m2s
10.120.1.59,WUHUYKTPD01,online,芜湖Windows,Windows Server,2016 Standard,10.0.14393.8592 (rs1_release.251022-1740),8,32.0 GB,[09NotReady],,1.70%,24.45%,10.120.1.59,10.120.1.59,1432h4m32s
10.120.20.18,WUHUIPPHONE,online,芜湖Windows,Windows Server,2016 Standard,10.0.14393.8592 (rs1_release.251022-1740),8,16.0 GB,[09NotReady],,2.60%,25.34%,10.120.20.18,10.120.20.18,1432h49m38s
10.101.2.105,PCWGX_App,online,武汉G6Linux,openEuler,24.03 (LTS-SP1),6.6.0-72.0.0.76.oe2403sp1.x86_64,16,62.3 GB,[09NotReady],,1.20%,26.37%,10.101.2.105,10.101.2.105,1511h38m0s
10.120.1.51,tm20cadence,online,芜湖Windows,Windows Server,2019 Standard,10.0.17763.7131 (WinBuild.160101.0800),4,8.0 GB,[09NotReady],,2.55%,31.84%,10.120.1.51,10.120.1.51,1531h30m34s
10.123.1.20,JSTH-Printserver,online,江苏天华Windows,Windows Server,2019 Standard,10.0.17763.5696 (WinBuild.160101.0800),8,16.0 GB,[09NotReady],,1.01%,27.73%,10.123.1.20,10.123.1.20,957h47m57s
172.17.60.190,msa-test.server,online,上海G5Linux,Anolis OS,8.9,5.10.134-16.2.an8.x86_64,4,7.5 GB,[09NotReady],,4.91%,46.07%,172.17.60.190,172.17.60.190,7771h59m51s
172.17.60.182,msadb,online,上海G5Linux,Anolis OS,8.9,5.10.134-18.an8.x86_64,8,31.1 GB,[09NotReady],,1.29%,71.20%,172.17.60.182,172.17.60.182,6888h15m49s
172.17.60.179,DESKTOP-FE95N52,online,上海G5Windows,Windows,10 Pro,10.0.26100.6584 (WinBuild.160101.0800),4,16.0 GB,[09NotReady],,8.14%,35.43%,172.17.60.179,172.17.60.179,2591h46m21s
10.103.11.80,hostname,online,厦门LTPSWindows,,,,0,0.0 B,[09NotReady],,0.00%,0.00%,10.103.11.80,,0s
10.103.11.74,TMXMXA03,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),4,12.0 GB,[09NotReady],,2.71%,29.71%,10.103.11.74,10.103.11.74,6545h49m38s
10.103.11.75,hostname,online,厦门LTPSWindows,,,,0,0.0 B,[09NotReady],,0.00%,0.00%,10.103.11.75,,0s
10.103.11.73,TMXMXA02,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),8,48.0 GB,[09NotReady],,36.46%,60.33%,10.103.11.73,10.103.11.73,3352h55m54s
10.103.11.66,TMXMPVS12,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),8,8.0 GB,[09NotReady],,15.30%,35.53%,10.103.11.66,10.103.11.66,1458h45m55s
10.103.11.65,TMXMPVS11,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),8,8.0 GB,[09NotReady],,5.54%,41.89%,10.103.11.65,10.103.11.65,2542h17m40s
10.103.11.67,TMXMPVS13,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),8,8.0 GB,[09NotReady],,15.64%,49.51%,10.103.11.67,10.103.11.67,2493h2m54s
10.103.11.55,TMXMDBS01,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),4,12.0 GB,[09NotReady],,4.52%,66.81%,10.103.11.55,10.103.11.55,6522h39m2s
10.103.11.56,TMXMDBS02,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),4,12.0 GB,[09NotReady],,2.64%,37.02%,10.103.11.56,10.103.11.56,6541h49m43s
10.103.11.53,TMXMDDC03,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),4,16.0 GB,[09NotReady],,2.32%,46.45%,10.103.11.53,10.103.11.53,3592h8m28s
10.103.11.52,TMXMDDC02,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),4,12.0 GB,[09NotReady],,2.43%,47.00%,10.103.11.52,10.103.11.52,3592h4m57s
10.103.11.51,hostname,online,厦门LTPSWindows,,,,0,0.0 B,[09NotReady],,0.00%,0.00%,10.103.11.51,,0s
10.103.11.70,TMXMDR01,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),4,8.0 GB,[09NotReady],,0.99%,27.27%,10.103.11.70,10.103.11.70,6546h5m9s
10.103.11.71,TMCTXLIC0001,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),2,8.0 GB,[09NotReady],,2.81%,34.48%,10.103.11.71,10.103.11.71,2248h12m12s
10.110.14.65,TsharePan,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,4,7.5 GB,[09NotReady],,1.09%,25.92%,10.110.14.65,10.110.14.65,1703h47m57s
10.101.4.51,tmbsap01,online,武汉G6Windows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),8,16.0 GB,[09NotReady],,1.27%,59.68%,10.101.4.51,10.101.4.51,7318h53m57s
10.105.65.62,XMTM18-MA02,online,厦门T18Linux,Red Hat Enterprise Linux,8.5 (Ootpa),4.18.0-372.19.1.el8_6.x86_64,32,125.2 GB,[09NotReady],,0.16%,3.29%,10.105.65.62,10.105.65.62,9766h36m19s
10.105.65.61,XMTM18-MA01,online,厦门T18Linux,Red Hat Enterprise Linux,8.5 (Ootpa),4.18.0-372.19.1.el8_6.x86_64,32,125.2 GB,[09NotReady],,0.15%,4.63%,10.105.65.61,10.105.65.61,9766h30m22s
172.17.200.138,sangforEDR,online,上海G5Linux,Kylin Linux Advanced Server,V10 (Sword),4.19.90-24.4.v2101.ky10.x86_64,8,14.4 GB,[09NotReady],,19.75%,69.73%,172.17.200.138,172.17.200.138,6288h37m8s
172.16.1.11,pdangan-db,online,上海G4.5（数据中心）Linux,Anolis OS,8.2,4.19.91-23.4.an8.x86_64,16,47.1 GB,[09NotReady],,0.61%,58.90%,172.16.1.11,10.110.61.11,3287h55m25s
172.17.60.187,LV7000-D4DF03,online,上海G5Linux,UniOS,2.0,5.10.218,16,30.6 GB,[09NotReady],,8.61%,57.65%,172.17.60.187,172.17.60.187,1608h45m14s
10.105.192.41,localhost.localdomain,online,厦门T18Linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,16,31.4 GB,[09NotReady],,8.60%,19.46%,10.105.192.41,10.105.192.41,17707h29m20s
10.105.192.40,localhost.localdomain,online,厦门T18Linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,16,31.4 GB,[09NotReady],,9.21%,19.51%,10.105.192.40,10.105.192.40,17707h29m22s
172.17.60.185,AVIC-BI-PBIRS,online,上海G5Windows,Windows Server,2019 Standard,10.0.17763.6530 (WinBuild.160101.0800),8,32.0 GB,[09NotReady],,3.20%,37.30%,172.17.60.185,172.17.60.185,7439h57m40s
10.105.192.39,localhost.localdomain,online,厦门T18Linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,16,31.4 GB,[09NotReady],,8.83%,20.13%,10.105.192.39,10.105.192.39,1751h36m17s
10.110.12.76,pmgtreport,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,24,125.9 GB,[09NotReady],,1.45%,55.69%,10.110.12.76,10.110.12.76,4863h48m7s
10.110.12.20,PSDM8D,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,8,15.3 GB,[09NotReady],,4.92%,30.18%,10.110.12.20,10.110.12.20,8304h29m50s
172.17.60.186,AVIC-PowerBI-DB,online,上海G5Windows,Windows Server,2019 Standard,10.0.17763.6530 (WinBuild.160101.0800),8,64.0 GB,[09NotReady],,1.96%,66.50%,172.17.60.186,172.17.60.186,932h56m34s
172.17.60.122,AVIC-Trend-122,online,上海G5Windows,Windows Server,2019 Standard,10.0.17763.8024 (WinBuild.160101.0800),16,32.0 GB,[09NotReady],,1.08%,30.41%,172.17.60.122,172.17.60.122,1769h11m37s
172.22.30.63,TMWHG45PVS002,online,武汉G4.5Windows,Windows Server,2012 R2 Datacenter,6.3.9600.20778 (winblue_ltsb_escrow.230105-1521),4,16.0 GB,[09NotReady],,1.73%,52.01%,172.22.30.63,172.22.30.63,6284h6m42s
172.22.30.47,TMWHG45DR001,online,武汉G4.5Windows,Windows Server,2012 R2 Datacenter,6.3.9600.20778 (winblue_ltsb_escrow.230105-1521),4,8.0 GB,[09NotReady],,2.06%,53.12%,172.22.30.47,172.22.30.47,9409h29m21s
172.28.1.45,coprint-server2,online,上海G5Windows,Windows Server,2019 Standard,10.0.17763.107 (WinBuild.160101.0800),8,16.0 GB,[09NotReady],,1.60%,19.21%,172.28.1.45,172.28.1.45,1122h2m6s
172.28.1.46,co-print-Server,online,上海G5Windows,Windows Server,2019 Standard,10.0.17763.107 (WinBuild.160101.0800),8,16.0 GB,[09NotReady],,4.24%,31.43%,172.28.1.46,172.28.1.46,1122h1m52s
172.18.5.192,DESKTOP-PR690A7,online,上海G4.5Windows,Windows,10 Pro,10.0.17134.1304 (WinBuild.160101.0800),4,16.0 GB,[09NotReady],,5.08%,22.69%,172.18.5.192,172.18.5.192,1096h55m37s
10.103.10.37,TMXMG6NPVS13,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),4,12.0 GB,[09NotReady],,15.13%,38.50%,10.103.10.37,10.103.10.37,7190h22m10s
10.103.10.36,TMXMG6NPVS12,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),4,12.0 GB,[09NotReady],,47.75%,33.81%,10.103.10.36,10.103.10.36,5377h31m38s
10.103.10.33,TMXMG6NPVS03,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),4,12.0 GB,[09NotReady],,2.40%,33.94%,10.103.10.33,10.103.10.33,7193h9m13s
10.103.10.31,TMXMG6NPVS01,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),4,12.0 GB,[09NotReady],,3.79%,37.60%,10.103.10.31,10.103.10.31,7193h58m10s
10.103.11.94,TMXMPVS24,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),4,16.0 GB,[09NotReady],,10.63%,23.77%,10.103.11.94,10.103.11.94,5640h47m28s
10.103.11.93,TMXMPVS23,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),4,16.0 GB,[09NotReady],,9.07%,24.38%,10.103.11.93,10.103.11.93,5640h16m23s
10.103.11.92,TMXMPVS22,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),4,16.0 GB,[09NotReady],,3.87%,24.21%,10.103.11.92,10.103.11.92,2337h24m43s
10.100.6.168,udevgit1,online,上海OLED（数据中心）Linux,Anolis OS,7.9,5.4.247-1.el7.elrepo.x86_64,4,15.6 GB,[09NotReady],,4.42%,42.25%,10.100.6.168,10.100.6.168,4246h54m55s
10.120.20.253,wuhuhps20,online,芜湖Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,2,3.6 GB,[09NotReady],,4.74%,25.73%,10.120.20.253,10.120.20.253,2231h56m50s
10.120.1.34,WUHUTM360EPP,online,芜湖Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,8,15.4 GB,[09NotReady],,22.99%,82.30%,10.120.1.34,10.120.1.34,2416h58m35s
10.120.2.100,WUHUHCI-NFS,online,芜湖Linux,Anolis OS,8.9,5.10.134-16.2.an8.x86_64,4,3.6 GB,[09NotReady],,3.78%,20.06%,10.120.2.100,10.120.2.100,2228h47m45s
10.100.6.174,udevgit1,online,上海OLED（数据中心）Linux,Anolis OS,7.9,5.4.247-1.el7.elrepo.x86_64,4,15.6 GB,[09NotReady],,4.51%,47.38%,10.100.6.174,10.100.6.174,6378h52m53s
10.103.11.61,TMXMPVS01,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),4,16.0 GB,[09NotReady],,8.05%,34.25%,10.103.11.61,10.103.11.61,6305h41m10s
10.103.11.62,TMXMPVS02,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),8,12.0 GB,[09NotReady],,9.41%,33.94%,10.103.11.62,10.103.11.62,6433h22m31s
10.103.11.63,TMXMPVS03,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),8,16.0 GB,[09NotReady],,1.13%,20.50%,10.103.11.63,10.103.11.63,936h52m18s
172.25.200.35,XMltpsPrint02,online,厦门LTPSWindows,Windows Server,2019 Standard,10.0.17763.7671 (WinBuild.160101.0800),8,16.0 GB,[09NotReady],,11.46%,41.67%,172.25.200.35,172.25.200.35,497h23m20s
10.105.64.81,hostname,online,厦门T18Windows,,,,0,0.0 B,[09NotReady],,0.00%,0.00%,10.105.64.81,,0s
10.110.1.214,Mail-Sql02.tianma.cn,online,上海G4.5（数据中心）Linux,Anolis OS,8.10,5.10.134-18.an8.x86_64,64,125.5 GB,[09NotReady],上海邮件系统,0.28%,16.54%,10.110.1.214,10.110.1.214,2248h10m44s
10.110.1.213,Mail-Sql01.tianma.cn,online,上海G4.5（数据中心）Linux,Anolis OS,8.10,5.10.134-18.an8.x86_64,64,125.4 GB,[09NotReady],上海邮件系统,0.22%,20.27%,10.110.1.213,10.110.1.213,2248h31m17s
10.110.1.212,Mail-Mdb06.tianma.cn,online,上海G4.5（数据中心）Linux,Anolis OS,8.10,5.10.134-18.an8.x86_64,64,125.5 GB,[09NotReady],上海邮件系统,1.78%,31.82%,10.110.1.212,10.110.1.212,2202h35m31s
10.110.1.211,Mail-Mdb05.tianma.cn,online,上海G4.5（数据中心）Linux,Anolis OS,8.10,5.10.134-18.an8.x86_64,64,125.5 GB,[09NotReady],上海邮件系统,1.32%,33.14%,10.110.1.211,10.110.1.211,2203h9m42s
10.110.1.210,Mail-Mdb04.tianma.cn,online,上海G4.5（数据中心）Linux,Anolis OS,8.10,5.10.134-18.an8.x86_64,64,125.5 GB,[09NotReady],上海邮件系统,1.41%,31.83%,10.110.1.210,10.110.1.210,2203h11m28s
10.110.1.209,Mail-Mdb03.tianma.cn,online,上海G4.5（数据中心）Linux,Anolis OS,8.10,5.10.134-18.an8.x86_64,64,125.5 GB,[09NotReady],上海邮件系统,1.82%,32.60%,10.110.1.209,10.110.1.209,2203h12m45s
10.110.1.208,Mail-Mdb02.tianma.cn,online,上海G4.5（数据中心）Linux,Anolis OS,8.10,5.10.134-18.an8.x86_64,64,125.5 GB,[09NotReady],上海邮件系统,1.80%,37.47%,10.110.1.208,10.110.1.208,2203h13m48s
10.110.1.207,Mail-Mdb01.tianma.cn,online,上海G4.5（数据中心）Linux,Anolis OS,8.10,5.10.134-18.an8.x86_64,64,125.5 GB,[09NotReady],上海邮件系统,1.98%,39.67%,10.110.1.207,10.110.1.207,2181h17m57s
10.110.1.206,Mail-Cas06.tianma.cn,online,上海G4.5（数据中心）Linux,Anolis OS,8.10,5.10.134-18.an8.x86_64,64,62.5 GB,[09NotReady],上海邮件系统,1.25%,29.67%,10.110.1.206,10.110.1.206,2250h5m33s
10.110.1.205,Mail-Cas05.tianma.cn,online,上海G4.5（数据中心）Linux,Anolis OS,8.10,5.10.134-18.an8.x86_64,64,62.5 GB,[09NotReady],上海邮件系统,1.06%,29.79%,10.110.1.205,10.110.1.205,2249h58m20s
10.110.1.204,Mail-Cas04.tianma.cn,online,上海G4.5（数据中心）Linux,Anolis OS,8.10,5.10.134-18.an8.x86_64,64,62.5 GB,[09NotReady],上海邮件系统,0.67%,29.33%,10.110.1.204,10.110.1.204,2250h27m5s
10.110.1.203,Mail-Cas03.tianma.cn,online,上海G4.5（数据中心）Linux,Anolis OS,8.10,5.10.134-18.an8.x86_64,64,62.5 GB,[09NotReady],上海邮件系统,0.84%,31.62%,10.110.1.203,10.110.1.203,2250h58m51s
10.110.1.202,Mail-Cas02.tianma.cn,online,上海G4.5（数据中心）Linux,Anolis OS,8.10,5.10.134-18.an8.x86_64,64,62.5 GB,[09NotReady],上海邮件系统,0.74%,45.65%,10.110.1.202,10.110.1.202,2183h21m50s
10.110.1.201,Mail-Cas01.tianma.cn,online,上海G4.5（数据中心）Linux,Anolis OS,8.10,5.10.134-18.an8.x86_64,64,62.5 GB,[09NotReady],上海邮件系统,2.84%,44.60%,10.110.1.201,10.110.1.201,1631h48m25s
10.110.18.123,PAgent_Dev05,online,上海G4.5（数据中心）Linux,OpenCloudOS,8.6,5.4.119-20.0009.20,16,62.8 GB,[09NotReady],,0.50%,9.31%,10.110.18.123,10.110.18.123,1391h41m56s
10.110.18.122,PAgent_Dev04,online,上海G4.5（数据中心）Linux,OpenCloudOS,8.6,5.4.119-20.0009.20,16,62.8 GB,[09NotReady],,0.60%,6.92%,10.110.18.122,10.110.18.122,1343h45m10s
10.110.18.121,tcs-10-110-18-121,online,上海G4.5（数据中心）Linux,OpenCloudOS,8.6,5.4.119-20.0009.20,64,251.6 GB,[09NotReady],,3.28%,7.97%,10.110.18.121,10.110.18.121,1407h23m41s
10.110.18.119,tcs-10-110-18-119,online,上海G4.5（数据中心）Linux,OpenCloudOS,8.6,5.4.119-20.0009.20,64,251.6 GB,[09NotReady],,7.86%,15.21%,10.110.18.119,10.110.18.119,1526h11m8s
10.110.18.120,tcs-10-110-18-120,online,上海G4.5（数据中心）Linux,OpenCloudOS,8.6,5.4.119-20.0009.20,64,251.6 GB,[09NotReady],,4.49%,14.22%,10.110.18.120,10.110.18.120,1407h30m27s
